Experiment,Average_Gain
1,22.285216398002333
2,20.471334967811146
3,38.46593247008615
4,35.25834261322612
5,43.04526154836701
6,25.667295653469
7,31.29407749564664
8,24.116613296815178
9,19.992051103458053
10,31.111822233600652
