Experiment,Average_Gain
1,38.78061104222732
2,44.7233593170333
3,34.11052899737264
4,32.671359248042776
5,20.52350213879809
6,36.25317368644876
7,25.45358974723709
8,32.65015119247887
9,29.215396011402344
10,15.824421188867678
