Experiment,Average_Gain
1,98.80000000000001
2,97.00000000000003
3,95.80000000000004
4,95.20000000000005
5,97.00000000000003
6,99.4
7,95.80000000000004
8,94.00000000000006
9,95.80000000000004
10,98.20000000000002
