Experiment,Average_Gain
1,54.40000000000032
2,59.80000000000033
3,56.200000000000315
4,64.60000000000034
5,76.60000000000022
6,59.20000000000033
7,70.00000000000028
8,72.40000000000026
9,65.20000000000033
10,64.00000000000034
